user_id,data_source,age,gender_encoded,screen_time_hours,social_media_hours,gaming_hours,study_work_hours,sleep_hours,notifications_per_day,stress_level_norm,anxiety_score_norm,depression_score_norm,happiness_score_norm,focus_score_norm,productivity_score_norm,digital_dependence_norm,sleep_quality_norm,physical_activity_days,phone_unlocks,app_opens_per_day,weekend_screen_time,battery_drain_percent,addiction_severity,high_risk_flag,device_type_encoded,region,income_level,education_level,daily_role
1,mobile_usage,19,0,9.98,3.816666667,1.75,4.45,5.6,299,0.5,0.4,0.35,0.765,0.8835,0.7348,0.2935,0.2286,4,199,180,12.48,26,0,0,0,Unknown,Unknown,Unknown,Unknown
2,mobile_usage,32,1,10.91,2.783333333,2.617,3.033333333,6.2,108,0.5,0.4,0.35,0.78,0.841,0.5964,0.3209,0.3143,4,130,123,13.64,32,0,0,1,Unknown,Unknown,Unknown,Unknown
3,mobile_usage,41,0,4.84,3.833333333,2.433,0.2,5.6,18,0.5,0.4,0.35,0.765,0.756,0.3195,0.1424,0.2286,4,46,38,6.05,11,0,0,1,Unknown,Unknown,Unknown,Unknown
4,mobile_usage,27,1,2.66,0.916666667,2.4,4.633333333,6.7,292,0.5,0.4,0.35,0.7925,0.889,0.7527,0.0782,0.3857,4,138,180,3.58,5,0,0,0,Unknown,Unknown,Unknown,Unknown
5,mobile_usage,23,1,3.89,2.1,1.983,3.6,4.2,183,0.5,0.4,0.35,0.73,0.858,0.6518,0.1144,0.0286,4,104,128,4.86,36,0,0,1,Unknown,Unknown,Unknown,Unknown
6,mobile_usage,20,0,5.98,0.25,1.033,4.75,5.7,129,0.5,0.4,0.35,0.7675,0.8925,0.7641,0.1759,0.2429,4,99,108,7.48,17,0,0,0,Unknown,Unknown,Unknown,Unknown
7,mobile_usage,41,0,10.09,1.8,0.3,4.533333333,6.5,27,0.5,0.4,0.35,0.7875,0.886,0.743,0.2968,0.3571,4,92,72,12.61,34,0,0,0,Unknown,Unknown,Unknown,Unknown
8,mobile_usage,33,1,10.54,2.216666667,1.517,1.016666667,7.6,67,0.5,0.4,0.35,0.815,0.7805,0.3993,0.31,0.5143,4,111,98,13.18,27,0,0,0,Unknown,Unknown,Unknown,Unknown
9,mobile_usage,19,0,1.57,0.766666667,0.95,1.383333333,5.6,147,0.5,0.4,0.35,0.765,0.7915,0.4352,0.0462,0.2286,4,71,94,3.58,23,0,0,1,Unknown,Unknown,Unknown,Unknown
10,mobile_usage,38,0,6.86,0.55,1.483,3.6,4.8,157,0.5,0.4,0.35,0.745,0.858,0.6518,0.2018,0.1143,4,118,130,8.58,36,0,0,0,Unknown,Unknown,Unknown,Unknown
11,mobile_usage,31,0,5.88,1.7,1.933,3.1,4.5,149,0.5,0.4,0.35,0.7375,0.843,0.6029,0.1729,0.0714,4,107,120,7.35,34,0,0,0,Unknown,Unknown,Unknown,Unknown
12,mobile_usage,35,1,3.83,0.916666667,1.017,0.3,9.6,229,0.5,0.4,0.35,0.865,0.759,0.3293,0.1126,0.8,4,122,154,4.79,33,0,0,0,Unknown,Unknown,Unknown,Unknown
13,mobile_usage,23,1,2.76,3.166666667,0.367,2.933333333,6.5,108,0.5,0.4,0.35,0.7875,0.838,0.5866,0.0812,0.3571,4,65,78,3.58,33,0,0,1,Unknown,Unknown,Unknown,Unknown
14,mobile_usage,23,1,5.04,1.733333333,2.1,1.65,7.5,108,0.5,0.4,0.35,0.8125,0.7995,0.4612,0.1482,0.5,4,84,91,6.3,34,0,0,1,Unknown,Unknown,Unknown,Unknown
15,mobile_usage,36,1,11.4,1.8,2.267,3.866666667,9.5,43,0.5,0.4,0.35,0.8625,0.866,0.6778,0.3353,0.7857,4,108,88,14.25,20,0,0,1,Unknown,Unknown,Unknown,Unknown
16,mobile_usage,33,1,4.89,3.283333333,2.317,1.25,4.5,202,0.5,0.4,0.35,0.7375,0.7875,0.4221,0.1438,0.0714,4,120,145,6.11,23,0,0,1,Unknown,Unknown,Unknown,Unknown
17,mobile_usage,16,1,6.95,3.9,2.133,4.4,9.3,138,0.5,0.4,0.35,0.8575,0.882,0.7299,0.2044,0.7571,4,111,119,8.69,22,0,0,1,Unknown,Unknown,Unknown,Unknown
18,mobile_usage,20,1,8.88,2.083333333,0.95,4.716666667,7.3,71,0.5,0.4,0.35,0.8075,0.8915,0.7609,0.2612,0.4714,4,99,91,11.1,5,0,0,0,Unknown,Unknown,Unknown,Unknown
19,mobile_usage,36,1,5.32,3.333333333,2.017,3.416666667,5,183,0.5,0.4,0.35,0.75,0.8525,0.6339,0.1565,0.1429,4,116,136,6.65,18,0,0,1,Unknown,Unknown,Unknown,Unknown
20,mobile_usage,15,1,11.7,3.7,0,3.7,6.5,46,0.5,0.4,0.35,0.7875,0.861,0.6615,0.3441,0.3571,4,112,92,14.62,6,0,0,1,Unknown,Unknown,Unknown,Unknown
21,mobile_usage,34,0,11.61,2.816666667,0.55,0.85,8.7,19,0.5,0.4,0.35,0.8425,0.7755,0.3831,0.3415,0.6714,4,100,76,14.51,32,0,0,1,Unknown,Unknown,Unknown,Unknown
22,mobile_usage,33,1,4.14,3.733333333,1.583,2.383333333,6.9,115,0.5,0.4,0.35,0.7975,0.8215,0.5329,0.1218,0.4143,4,79,90,5.18,34,0,0,0,Unknown,Unknown,Unknown,Unknown
23,mobile_usage,14,0,6.72,2.833333333,2.083,1.133333333,9.9,161,0.5,0.4,0.35,0.8725,0.784,0.4107,0.1976,0.8429,4,118,131,8.4,8,0,0,1,Unknown,Unknown,Unknown,Unknown
24,mobile_usage,36,0,4.66,1.266666667,1.95,1.633333333,6.3,293,0.5,0.4,0.35,0.7825,0.799,0.4596,0.1371,0.3286,4,154,180,5.82,5,0,0,1,Unknown,Unknown,Unknown,Unknown
25,mobile_usage,24,0,4.49,2.283333333,0.783,0.4,8.5,235,0.5,0.4,0.35,0.8375,0.762,0.3391,0.1321,0.6429,4,130,162,5.61,12,0,0,0,Unknown,Unknown,Unknown,Unknown
26,mobile_usage,42,1,1.89,0.45,1.467,0.866666667,6.4,161,0.5,0.4,0.35,0.785,0.776,0.3847,0.0556,0.3429,4,80,104,3.58,33,0,0,1,Unknown,Unknown,Unknown,Unknown
27,mobile_usage,18,1,7.9,0.566666667,1.933,2.5,9,42,0.5,0.4,0.35,0.85,0.825,0.5443,0.2324,0.7143,4,80,69,9.88,7,0,0,0,Unknown,Unknown,Unknown,Unknown
28,mobile_usage,14,1,6.78,3.866666667,2.133,2.383333333,7.4,101,0.5,0.4,0.35,0.81,0.8215,0.5329,0.1994,0.4857,4,95,97,8.48,36,0,0,0,Unknown,Unknown,Unknown,Unknown
29,mobile_usage,44,1,2.04,1.05,0.25,0.933333333,4.4,293,0.5,0.4,0.35,0.735,0.778,0.3912,0.06,0.0571,4,134,180,3.58,14,0,0,0,Unknown,Unknown,Unknown,Unknown
30,mobile_usage,40,0,4.43,1.116666667,1.133,0.633333333,4.2,258,0.5,0.4,0.35,0.73,0.769,0.3619,0.1303,0.0286,4,139,175,5.54,14,0,0,0,Unknown,Unknown,Unknown,Unknown
31,mobile_usage,33,1,11.04,1.266666667,0.35,1.8,4.8,200,0.5,0.4,0.35,0.745,0.804,0.4759,0.3247,0.1143,4,168,178,13.8,23,0,0,0,Unknown,Unknown,Unknown,Unknown
32,mobile_usage,13,1,4.02,1.883333333,1.533,3,4.1,90,0.5,0.4,0.35,0.7275,0.84,0.5931,0.1182,0.0143,4,68,75,5.02,38,0,0,1,Unknown,Unknown,Unknown,Unknown
33,mobile_usage,24,1,3.02,3.05,1.25,0.683333333,4.5,14,0.5,0.4,0.35,0.7375,0.7705,0.3668,0.0888,0.0714,4,30,25,3.78,37,0,0,0,Unknown,Unknown,Unknown,Unknown
